census_year,clue_small_area,anzsic_industry,business_size,total_establishments,total_jobs,jobs_suppressed
2002,Melbourne (CBD),Accommodation and Food Services,Medium business,124,5752,FALSE
2002,Melbourne (CBD),Accommodation and Food Services,Small business,852,6095,FALSE
2002,Melbourne (CBD),Administrative and Support Services,Medium business,78,3771,FALSE
2002,Melbourne (CBD),Administrative and Support Services,Small business,404,2353,FALSE
2002,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,1,NA,TRUE
2002,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,6,30,FALSE
2002,Melbourne (CBD),Arts and Recreation Services,Medium business,16,1032,FALSE
2002,Melbourne (CBD),Arts and Recreation Services,Small business,69,352,FALSE
2002,Melbourne (CBD),Construction,Medium business,10,616,FALSE
2002,Melbourne (CBD),Construction,Small business,57,334,FALSE
2002,Melbourne (CBD),Education and Training,Medium business,36,1999,FALSE
2002,Melbourne (CBD),Education and Training,Small business,98,713,FALSE
2002,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,6,538,FALSE
2002,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,10,94,FALSE
2002,Melbourne (CBD),Financial and Insurance Services,Medium business,147,8768,FALSE
2002,Melbourne (CBD),Financial and Insurance Services,Small business,428,2952,FALSE
2002,Melbourne (CBD),Health Care and Social Assistance,Medium business,20,696,FALSE
2002,Melbourne (CBD),Health Care and Social Assistance,Small business,312,1318,FALSE
2002,Melbourne (CBD),Information Media and Telecommunications,Medium business,49,3066,FALSE
2002,Melbourne (CBD),Information Media and Telecommunications,Small business,143,812,FALSE
2002,Melbourne (CBD),Manufacturing,Medium business,12,576,FALSE
2002,Melbourne (CBD),Manufacturing,Small business,275,892,FALSE
2002,Melbourne (CBD),Mining,Medium business,3,137,FALSE
2002,Melbourne (CBD),Mining,Small business,25,148,FALSE
2002,Melbourne (CBD),Other Services,Medium business,44,2042,FALSE
2002,Melbourne (CBD),Other Services,Small business,501,2132,FALSE
2002,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,228,11826,FALSE
2002,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1072,6384,FALSE
2002,Melbourne (CBD),Public Administration and Safety,Medium business,70,4842,FALSE
2002,Melbourne (CBD),Public Administration and Safety,Small business,65,495,FALSE
2002,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,22,1021,FALSE
2002,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,123,682,FALSE
2002,Melbourne (CBD),Retail Trade,Medium business,60,2725,FALSE
2002,Melbourne (CBD),Retail Trade,Small business,1237,5695,FALSE
2002,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,24,1289,FALSE
2002,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,85,582,FALSE
2002,Melbourne (CBD),Wholesale Trade,Medium business,10,403,FALSE
2002,Melbourne (CBD),Wholesale Trade,Small business,115,447,FALSE
2003,Melbourne (CBD),Accommodation and Food Services,Medium business,124,5752,FALSE
2003,Melbourne (CBD),Accommodation and Food Services,Small business,852,6095,FALSE
2003,Melbourne (CBD),Administrative and Support Services,Medium business,78,3771,FALSE
2003,Melbourne (CBD),Administrative and Support Services,Small business,404,2353,FALSE
2003,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,1,NA,TRUE
2003,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,6,30,FALSE
2003,Melbourne (CBD),Arts and Recreation Services,Medium business,16,1032,FALSE
2003,Melbourne (CBD),Arts and Recreation Services,Small business,69,352,FALSE
